Circuit: * D:\Sim\igbt.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 +to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 +to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 +to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 +to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 +to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 +to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 +to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 +to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728387
Heightened Def Con from 0.00728387 +to 0.00728387
Heightened Def Con from 0.00728387 to 0.00728388
Heightened Def Con from 0.00728388 to 0.00728388
Heightened Def Con from 0.00728388 to 0.00728388
Heightened Def Con from 0.00728388 to 0.00728388
Heightened Def Con from 0.00728388 to 0.00728388
